ID	이동거리		이동방향		공격거리		코스트		HP	공격력	이름
000	1		1(8방향)		0(근거리 한정)	1		2	1	고블린
001	1		1		0		1		2	1	벤시
002	1		0(4방향)		0		1		2	1	놀
003	2		1		0		2		2	2	드레이크
004	1		1		0		2		3	2	오크
005	1		0		0		2		3	2	골렘
006	2		1		0		3		4	2	트윈헤드 오우거
007	2		0		0		3		3	3	광전사
008	1		1		0		3		3	2	웜
009	2		1		0		4		4	3	데스나이트
010	2		1		0		4		3	4	발키리
011	2		1		0		4		4	3	용사
100	1		1		2		2		2	1	사냥꾼
101	1		1		2		2		2	2	정령궁수
102	1		1		2		3		3	2	마법사
103	1		1		2		3		2	2	대포
104	1		1		2		4		3	3	히드라
105	1		1		2		4		4	2	주작
200	3		2(8방향 끝)	0		0		5	3	제우스
201	3		1		0		0		5	3	아누비스
202	2		1		0		0		5	4	해태					
